id,value,p(s),frequency
0,Position(MIDDLE)&Velocity(RIGHT)&Angle(STABILIZING_LEFT),0.21435690437035929,8603
1,Position(MIDDLE)&Velocity(LEFT)&Angle(STABILIZING_RIGHT),0.07990731050979219,3207
2,Position(MIDDLE)&Velocity(RIGHT)&Angle(STUCK_RIGHT),0.16133452932675538,6475
3,Position(MIDDLE)&Velocity(LEFT)&Angle(STUCK_RIGHT),0.04053919370110131,1627
4,Position(MIDDLE)&Velocity(LEFT)&Angle(STUCK_LEFT),0.02803109582897294,1125
5,Position(MIDDLE)&Velocity(RIGHT)&Angle(FALLING_LEFT),0.07108685902227538,2853
6,Position(MIDDLE)&Velocity(LEFT)&Angle(FALLING_LEFT),0.0046095579807644395,185
7,Position(MIDDLE)&Velocity(RIGHT)&Angle(FALLING_RIGHT),0.1809687546718493,7263
8,Position(MIDDLE)&Velocity(LEFT)&Angle(FALLING_RIGHT),0.12316240594010067,4943
9,Position(MIDDLE)&Velocity(LEFT)&Angle(STABILIZING_LEFT),0.0047590571585189615,191
10,Position(MIDDLE)&Velocity(LEFT)&Angle(STANDING),0.0035132306772312754,141
11,Position(MIDDLE)&Velocity(RIGHT)&Angle(STUCK_LEFT),0.05581302636168834,2240
12,Position(MIDDLE)&Velocity(RIGHT)&Angle(STABILIZING_RIGHT),0.025963023870035382,1042
13,Position(MIDDLE)&Velocity(RIGHT)&Angle(STANDING),0.00595505058055514,239
