Country,Name Star,Citation Name Star,Name Exoplanet,Citation Name Exoplanet,Theme,Star catalog ID,Exoplanet catalog ID,Constelation,Star colour,Star type,Link to SIMBAD
Albania,Illyrian,"Historians largely believe that the Albanians are descendants of the Illyrians, a term Albanians proudly call themselves.",Arber,Arber is the term for the inhabitants of Albania during the middle ages.,Names of ancient places and peoples associated with the history of Albania.,HD 82886,HD 82886 b,Leo Minor,yellow,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+82886
Algeria,Hoggar,Hoggar is the name of the main mountain range in the Sahara Desert in southern Algeria.,Tassili,Tassili is a UNESCO World Heritage Site situated in the Sahara Desert and is renowned for its prehistoric cave art and scenic geological formations.,Names associated with marvels of the Sahara Desert in Algeria,HD 28678,HD 28678 b,Taurus,yellow,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+28678
Andorra,Arcalís,"Arcalis is a famous peak in the north of Andorra, where the Sun passes through a hole in the mountain twice a year at fixed dates. It was used as a primitive solar calendar and reference point for shepherds and early inhabitants of Andorra.",Madriu,"Madriu (Mare del riu in Catalan, Mother of the River in English) is the name of a glacial valley and of the river that runs through it in the southeast of Andorra. It is the main part of the Madriu-Perafita-Claror UNESCO World Heritage Site.",Names associated with prominent peaks and valleys of Andorra.,HD 131496,HD 131496 b,Bootes,orange,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+131496
Argentina,Nosaxa,"Nosaxa means spring in the Moqoit language. The word comes from a combination of nosahuec, which means renew, and ñaaxa, which means year.",Naqaỹa,"Naqaỹa means brother-family-relative in the Moqoit language and leads us to call all humans, indigenous or non-indigenous, brother.","Terms associated with the relationship between sky, life cycles, and the human community as family, as provided by a teacher and leader of the Moqoit Indigenous People of northern Argentina.",HD 48265,HD 48265 b,Puppis,yellow-white,subgiant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+48265
Aruba,Malmok,Malmok is an indigenous name given to a beach in Aruba with a narrow sandy stretch that interrupts the limestone and rocky terrace along the coast. Its shallow clear Caribbean waters make it a popular snorkelling spot.,Bocaprins,Boca Prins is a secluded beach with white dunes and iconic scenery situated in Arikok National Park along the northeast coast of Aruba. It is named after Plantation Prins where coconuts were cultivated in the past.,Names associated with notable beaches of Aruba.,WASP-39,WASP-39 b,Virgo,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=WASP-39
Australia,Bubup,Bubup is the Boonwurrung word for child.,Yanyan,YanYan is the Boonwurrung word for boy.,"Names for family members in the Boonwurrung language used by children in the Kulin Nation in Victoria, Australia.",HD 38283,HD 38283 b,Mensa,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+38283
Austria,Franz,"Franz is a character in the movie ""Sissi"" embodying an emperor of Austria in the XIXth century. The role is played by the actor Karlheinz Böhm.",Sissi,"Sissi is a character in the movie ""Sissi"", who is married with Franz. The role is played by the actress Romy Schneider.","Names associated with characters in the 1955 Austrian film ""Sissi"" directed by Ernst Marischka and describing a love story between a princess and an emperor in the XIXth century.",HAT-P-14,HAT-P-14 b,Hercules,yellow-white,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HAT-P-14
Azerbaijan,Mahsati,Mahsati Ganjavi (1089–1159) is one of the brightest shining stars of Azerbaijani poetry. She was said to have associated with both Omar Khayyam and Nizami and was well educated and talented and played numerous musical instruments.,Ganja,"Ganja is an ancient city of Azerbaijan, and is the birth place of many prominent people such as the poets Mahsati and Nizami. It is the ancient capital of Azerbaijan, the first capital of the Azerbaijan Democratic Republic and the city with the spirit of wisdom and freedom.",Names associated with the works and life of 12th century eminent Azerbaijani poetess Mahsati Ganjavi (1089–1159) of Ganja.,HD 152581,HD 152581 b,Ophiuchus,orange,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+152581
Bangladesh,Timir,"Timir means darkness in Bengali language, alluding to the star being far away in the darkness of space.",Tondra,"Tondra means nap in Bengali language, alluding to the symbolic notion that the planet was asleep until discovered.","Terms associated with the dark night sky, space, and sleep in the Bengali language.",HD 148427,HD 148427 b,Ophiuchus,orange,giant,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+148427
Belgium,Nervia,"Nervia, adapted from Nervii, was a prominent Belgian Celtic tribe.",Eburonia,"Eburonia, adapted from Eburones, was a prominent Belgian Celtic tribe.",Names of places and peoples associated with the ancient Belgae tribes in the vicinity of modern-day Belgium.,HD 49674,HD 49674 b,Auriga,yellow,dwarf,http://simbad.u-strasbg.fr/simbad/sim-basic?Ident=HD+49674
